,block_start,block_end,snp_vec_start,snp_vec_end,types,genome1,genome2,start_site,end_site,contig
0,550,715,5500.0,7150.0,0,700013715,700037042,118760,134616,NC_009614
1,865,1005,8650.0,10050.0,0,700013715,700037042,213754,262911,NC_009614
2,1615,2640,16150.0,26400.0,0,700013715,700037042,370277,542398,NC_009614
3,3825,4267,38250.0,42670.0,0,700013715,700037042,775420,904434,NC_009614
4,5284,6049,52840.0,60490.0,0,700013715,700037042,1381207,1533778,NC_009614
5,6863,7041,68630.0,70410.0,0,700013715,700037042,1712246,1729203,NC_009614
6,7347,7498,73470.0,74980.0,0,700013715,700037042,1801565,1822901,NC_009614
7,9733,10580,97330.0,105800.0,0,700013715,700037042,2420359,2549955,NC_009614
8,10969,11242,109690.0,112420.0,0,700013715,700037042,2614657,2660848,NC_009614
9,11772,12118,117720.0,121180.0,0,700013715,700037042,2894150,2934499,NC_009614
10,12842,12983,128420.0,129830.0,0,700013715,700037042,3110106,3138001,NC_009614
11,13372,13422,133720.0,134220.0,0,700013715,700037042,3242316,3247141,NC_009614
12,13983,14012,139830.0,140120.0,0,700013715,700037042,3357482,3410508,NC_009614
13,14478,14510,144780.0,145100.0,0,700013715,700037042,3508016,3510362,NC_009614
14,14863,14895,148630.0,148950.0,0,700013715,700037042,3671816,3673977,NC_009614
15,15176,15267,151760.0,152670.0,0,700013715,700037042,3734492,3774399,NC_009614
16,16064,16344,160640.0,163440.0,0,700013715,700037042,3909007,3987222,NC_009614
17,16522,16557,165220.0,165570.0,0,700013715,700037042,4004356,4055700,NC_009614
18,18068,18151,180680.0,181510.0,0,700013715,700037042,4673387,4680217,NC_009614
19,18938,19085,189380.0,190850.0,0,700013715,700037042,4793596,4829359,NC_009614
20,263,318,2630.0,3180.0,1,700013715,700037042,79123,84501,NC_009614
21,3608,3642,36080.0,36420.0,1,700013715,700037042,758497,760881,NC_009614
22,3681,3754,36810.0,37540.0,1,700013715,700037042,764144,769352,NC_009614
23,6673,6692,66730.0,66920.0,1,700013715,700037042,1674585,1677956,NC_009614
24,7507,7534,75070.0,75340.0,1,700013715,700037042,1823602,1825683,NC_009614
25,534,698,5340.0,6980.0,0,700013715,ERR911986,118775,134586,NC_009614
26,843,971,8430.0,9710.0,0,700013715,ERR911986,213775,262917,NC_009614
27,1556,2568,15560.0,25680.0,0,700013715,ERR911986,370169,542398,NC_009614
28,3731,4188,37310.0,41880.0,0,700013715,ERR911986,775396,907345,NC_009614
29,5153,5899,51530.0,58990.0,0,700013715,ERR911986,1381177,1533736,NC_009614
30,6697,7318,66970.0,73180.0,0,700013715,ERR911986,1712147,1822856,NC_009614
31,9498,10323,94980.0,103230.0,0,700013715,ERR911986,2420392,2549892,NC_009614
32,10702,10975,107020.0,109750.0,0,700013715,ERR911986,2614654,2660830,NC_009614
33,11526,11859,115260.0,118590.0,0,700013715,ERR911986,2894147,2934505,NC_009614
34,12548,12683,125480.0,126830.0,0,700013715,ERR911986,3110106,3138037,NC_009614
35,13651,13675,136510.0,136750.0,0,700013715,ERR911986,3357596,3410652,NC_009614
36,14123,14155,141230.0,141550.0,0,700013715,ERR911986,3508022,3510287,NC_009614
37,14469,14501,144690.0,145010.0,0,700013715,ERR911986,3671843,3674001,NC_009614
38,14768,14854,147680.0,148540.0,0,700013715,ERR911986,3732825,3774246,NC_009614
39,15622,15883,156220.0,158830.0,0,700013715,ERR911986,3908998,3987219,NC_009614
40,17485,17569,174850.0,175690.0,0,700013715,ERR911986,4673375,4680178,NC_009614
41,18333,18439,183330.0,184390.0,0,700013715,ERR911986,4796751,4826597,NC_009614
42,248,305,2480.0,3050.0,1,700013715,ERR911986,79126,84501,NC_009614
43,3514,3548,35140.0,35480.0,1,700013715,ERR911986,758488,760878,NC_009614
44,3587,3660,35870.0,36600.0,1,700013715,ERR911986,764135,769343,NC_009614
45,6511,6530,65110.0,65300.0,1,700013715,ERR911986,1674588,1677956,NC_009614
46,7328,7355,73280.0,73550.0,1,700013715,ERR911986,1823620,1825695,NC_009614
47,16059,16085,160590.0,160850.0,1,700013715,ERR911986,4004305,4055640,NC_009614
48,562,726,5620.0,7260.0,0,700013715,ERR912181,118745,134586,NC_009614
49,880,1025,8800.0,10250.0,0,700013715,ERR912181,213775,262911,NC_009614
50,1648,2737,16480.0,27370.0,0,700013715,ERR912181,370271,557048,NC_009614
51,3888,4361,38880.0,43610.0,0,700013715,ERR912181,775447,906961,NC_009614
52,5320,6013,53200.0,60130.0,0,700013715,ERR912181,1371885,1455776,NC_009614
53,6171,6187,61710.0,61870.0,0,700013715,ERR912181,1532671,1533715,NC_009614
54,7010,7188,70100.0,71880.0,0,700013715,ERR912181,1712171,1729221,NC_009614
55,7504,7695,75040.0,76950.0,0,700013715,ERR912181,1801556,1825680,NC_009614
56,9933,10590,99330.0,105900.0,0,700013715,ERR912181,2420344,2500634,NC_009614
57,10780,10800,107800.0,108000.0,0,700013715,ERR912181,2535682,2549862,NC_009614
58,11999,12368,119990.0,123680.0,0,700013715,ERR912181,2894156,2935967,NC_009614
59,13091,13237,130910.0,132370.0,0,700013715,ERR912181,3109176,3138001,NC_009614
60,13627,13679,136270.0,136790.0,0,700013715,ERR912181,3242283,3247141,NC_009614
61,14251,14294,142510.0,142940.0,0,700013715,ERR912181,3357152,3410637,NC_009614
62,14767,14798,147670.0,147980.0,0,700013715,ERR912181,3508025,3510293,NC_009614
63,15174,15206,151740.0,152060.0,0,700013715,ERR912181,3671825,3673992,NC_009614
64,15489,15586,154890.0,155860.0,0,700013715,ERR912181,3734498,3774339,NC_009614
65,16402,16688,164020.0,166880.0,0,700013715,ERR912181,3908998,3987234,NC_009614
66,16864,16903,168640.0,169030.0,0,700013715,ERR912181,4004380,4055655,NC_009614
67,18464,18548,184640.0,185480.0,0,700013715,ERR912181,4673393,4680163,NC_009614
68,19350,19505,193500.0,195050.0,0,700013715,ERR912181,4793566,4829377,NC_009614
69,273,331,2730.0,3310.0,1,700013715,ERR912181,79090,84525,NC_009614
70,3671,3704,36710.0,37040.0,1,700013715,ERR912181,758503,760812,NC_009614
71,3744,3817,37440.0,38170.0,1,700013715,ERR912181,764159,769364,NC_009614
72,6101,6127,61010.0,61270.0,1,700013715,ERR912181,1485735,1515430,NC_009614
73,6819,6837,68190.0,68370.0,1,700013715,ERR912181,1674549,1677923,NC_009614
74,10,1140,100.0,11400.0,0,700014486,700161429,993,216707,NC_009614
75,1238,1444,12380.0,14440.0,0,700014486,700161429,225062,291445,NC_009614
76,1603,1842,16030.0,18420.0,0,700014486,700161429,311678,337457,NC_009614
77,3341,3411,33410.0,34110.0,0,700014486,700161429,539580,551089,NC_009614
78,3688,4819,36880.0,48190.0,0,700014486,700161429,606610,779381,NC_009614
79,6435,7538,64350.0,75380.0,0,700014486,700161429,1287980,1458707,NC_009614
80,7706,8454,77060.0,84540.0,0,700014486,700161429,1513864,1644055,NC_009614
81,10150,10418,101500.0,104180.0,0,700014486,700161429,1883099,1939237,NC_009614
82,26614,27708,266140.0,277080.0,0,700014486,700161429,4910851,5144870,NC_009614
83,3428,3448,34280.0,34480.0,1,700014486,700161429,554848,558511,NC_009614
84,4828,4891,48280.0,48910.0,1,700014486,700161429,780144,785347,NC_009614
85,605,772,6050.0,7720.0,0,700014486,ERR912153,108782,122227,NC_009614
86,1112,2058,11120.0,20580.0,0,700014486,ERR912153,214534,363448,NC_009614
87,4103,4210,41030.0,42100.0,0,700014486,ERR912153,672826,714509,NC_009614
88,5179,5235,51790.0,52350.0,0,700014486,ERR912153,847230,851695,NC_009614
89,6084,6437,60840.0,64370.0,0,700014486,ERR912153,1158369,1287983,NC_009614
90,7794,8651,77940.0,86510.0,0,700014486,ERR912153,1530386,1688317,NC_009614
91,9034,9120,90340.0,91200.0,0,700014486,ERR912153,1737502,1761816,NC_009614
92,10174,10441,101740.0,104410.0,0,700014486,ERR912153,1883123,1939201,NC_009614
93,11857,11936,118570.0,119360.0,0,700014486,ERR912153,2260979,2282124,NC_009614
94,15074,15379,150740.0,153790.0,0,700014486,ERR912153,2895941,2924324,NC_009614
95,15822,16034,158220.0,160340.0,0,700014486,ERR912153,2993797,3009423,NC_009614
96,16605,16652,166050.0,166520.0,0,700014486,ERR912153,3112517,3116343,NC_009614
